Company Name
11PLC
1ST KLAX SOFTWARE SOLUTIONS LTD
9JA FOOD SHOP LIMITED
A.M.D WIRELESS ENTERPRISES
A.M.D WIRELESS ENTERPRISES
AB AWAJI OIL AND GAS LIMITED
AB OFFSHORE MARINE SERVICES LTD
AB WHITNEY & CO. LTD
ABD NIGERIA LTD
ACTEON PROJECT SERVICES LIMITED
ADRAAZ GLOBAL TECHNOLOGIES 
ADVICH GLOBAL ENERGY LIMITED
AERO CONTRACTORS COMPANY OF NIGERIA LIMITED
AETOS LIMITED
AETOS LIMITED
AFFORDABLE CARS LIMITED
AFRICA DIVING SERVICES LTD
AGL CONSULTING LIMITED
AICETEC NIGERIA LIMITED 
AIDERR PROJECT SERVICES LIMITED
AIRYOLK NIGERIA LIMITED
AJAMY OIL AND GAS LIMITED
AKERMAS ENERGY LIMITED
AKXSTON NIG LTD
ALBRAL ALLIANCE LTD
ALFCOM ENERGY LIMITED
ALON TECHNICAL SERVICES LIMITED
ALPHA BRAVO INTEGRETED SERVICES LTD
ALPHA CROWN ENGINEERING ASSOCIATES LTD
ALVIN SERVICES LIMITED
AMAIDEN ENERGY NIGERIA LIMITED
AMECRON NIGERIA LIMITED
AMG LOGISTICS 
AMNI PETROLEUM AUDIT COMPANY 
AMVILE SERVICES COMPANY LIMITED
ANDERSEN TAX
ANILA RESOURCES (NIGERIA) LIMITED
ANKOR POINTE INTEGRATED LIMITED
ANKORPOINTE INTEGRATED LIMITED
ANNSSA WORLDWIDE SOLUTION LIMITED
AOS ORWELL LIMITED
AOS ORWELL LIMITED
AQMOND GLOBAL INVESTMENT LTD
ARABIAN INDUSTRIES MANUFACTURING CO LLC 
ARCHER SYSTEM SUPPORT & SUPPLIES LTD
ARCOT GREEN NIGERIA LIMITED
ARGEN NIGERIA LTD
ARIOSH LTD
AROWOLO GROUP OF COMPANIES
ARROW CONSTRUCTION COMPANY LIMITED
ASHBARD ENERGY COMPANY LTD
ASTER GLOBAL LIMITED
ATMA GLOBAL RESOURCES LIMITED
ATTAINABLES ENTERTAINMENT LIMITED
AUSTINOPAT MARINE CONCEPT INT'L LTD 
AVIXIO PROJECTS LIMITED
AWOBO PEARSE ENGINEERING LIMITED
AZI MARINE AND GENERAL SERVICES LIMITED
AZINOVA SOLUTIONS LIMITED
BANCE GLOBAL TEKNIC LIMITED
BANHILL NIGERIA LIMITED
BANKAI TEST COMPANY 25
BARA INTERNATIONAL COMPANY LIMITED
BATOIL SERVICES NIGERIA LIMITED
BEAM ENERGY LIMITED
BEAM ENERGY LIMITED
BEAM ENERGY LIMITED
BELLPOINT ENERGY LIMITED
BENEPROJECTI NIGERIA LIMITED
BEOPS NIGERIA LIMITED
BESTWOLE DEVELOPMENTS LIMITED
BIBSTAR OFFSHORE SERVICES LIMITED
BIL INTEGRATED SYSTEMS LIMITED
BIOS ALLIED COMMUNICATION SYSTEM LTD
BLUE PHOENIX DEEPWATER LTD 
BLUEVELD NIGERIA LIMITED
BOCOP ENERGY LTD
BOMBILAD GLOBAL SERVICES LIMITED
BON VOYAGE TRAVEL AGENCY LIMITED
BORAX ENERGY SERVICES LTD
BRADE CONSULTING LIMITED
BRAWAL OIL SERVICE LTD
BRIGHTWATERS ENERGY LIMITED
BRISTOW HELICOPTERS (NIGERIA) LIMITED
BRONE POSITIONING AND SURVEY LIMITED
BUBBLE POINT NIG LTD
BUILDERS RESOURCES NIGERIA LIMITED
BUMSHAK INTEGRATED SERVICES LTD
BUREAU VERITAS NIGERIA LIMITED
BUSICON NIGERIA LIMITED
C AND I LEASING PLC
CABLECON LIMITED
CAINERGY INTERNATIONAL LIMITED
CAKASA ENGINEERING SERVICES LIMITED
CALAYA ENGINEERING SERVICES LIMITED
CALAYA ENGINEERING SERVICES LIMITED
CALVANTE INTERNATIONAL LIMITED
CAMERON FLOW CONTROL TECHNOLOGY NIGERIA LIMITED
CANLINE PIPELINE SOLUTIONS NIG LTD
CARACAL OIL & GAS SERVICES LIMITED
CARITAS COMMUNICATIONS LIMITED 
CARMEL'S TEKNO LIMITED
CAVERTON HELICOPTERS LIMITED
CAVMONT LEASING (NIGERIA) LIMITED
CBC ENERGY NIGERIA LIMITED
CBT EXPERT SOLUTIONS LIMITED
CCM VESSEL MANAGEMENT  COMPANY LIMITED
CD PRINCETON NIGERIA LIMITED
CELAD MULTI SERVICES LIMITED
CENROC FPSO SOLUTIONS NIGERIA LIMITED
CENTURY ENERGY SERVICES LIMITED
CHAMPIONX OILFIELD SOLUTIONS NIGERIA LIMITED
CHARSLOP LTD
CHAS RESOURCE ENT LIMITED
CHESROC NIGERIA LIMITED
CHIBECO OIL AND GAS NIGERIA LIMITED
CHISCO ENERGY NIGERIA LIMITED
CHITYDE ENERGY SERVICES LTD
CINALT RESOURCES LIMITED
CLAVIANT ENERGY SERVICES LIMITED
CLEDD NIGERIA LIMITED
CLIMAX INSPECTION SERVICES LIMITED
COASTLAND ENERGY LOGISTICS LIMITED
COMPASS SURVEY LTD
COMPRESSION AND POWER SYSTEMS LIMITED
COMPRESSION AND POWER SYSTEMS LIMITED
CONTROLNET LIMITED
CRESTECH ENGINEERING LIMITED
CROWN ENERGY RESOURCES NIGERIA LIMITED
CRYSTAL F & F OIL AND GAS LIMITED 
CWG PLC.
DANHOLSEN GLOBAL SERVICES LIMITED
DANHOLSEN GLOBAL SERVICES LIMITED
DANVIC PETROLEUM INTERNATIONAL LIMITED
DANVIC SAFETY SOLUTIONS INTERNATIONAL LTD
DARAMYX SOLUTIONS LIMITED
DATUM PARAGON LIMITED
